,NCT_ID,Title,Drugs
27,NCT03559647,The Effectiveness Of Atezolizumab Under Real-World Conditions In Patients With Locally-Advanced Or Metastatic Non-Small Cell Lung Cancer After Prior Chemotherapy,['Atezolizumab']
28,NCT03399643,Non-Interventional Study To Investigate The Effectiveness Of Atezolizumab Under Real-World Conditions In Patients With Inoperable Locally-Advanced Or Metastatic Urothelial Carcinoma Of The Urinary Tract (Announce),['Atezolizumab']
29,NCT03232593,Post-Marketing Surveillance of Tecentriq in MFDS-Approved Indication(s),['Atezolizumab']
30,NCT02951767,"A Phase II, Multicenter, Single-Arm Study of Atezolizumab in Patients With Locally Advanced or Metastatic Urothelial Bladder Cancer",['Atezolizumab']
31,NCT02928406,"An Open Label, Single Arm, Multicenter, Safety Study of Atezolizumab in Locally Advanced or Metastatic Urothelial or Non-Urothelial Carcinoma of the Urinary Tract",['Atezolizumab']
32,NCT02541604,"An Early-Phase, Multicenter, Open-Label Study of the Safety and Pharmacokinetics of Atezolizumab (MPDL3280A) In Pediatric and Young Adult Patients With Previously Treated Solid Tumors",['Atezolizumab']
33,NCT02450331,"A Phase III, Open-Label, Multicenter, Randomized Study of Atezolizumab (Anti-PD-L1 Antibody) Versus Observation as Adjuvant Therapy in Patients With High-Risk Muscle-Invasive Urothelial Carcinoma After Surgical Resection",['Atezolizumab']
34,NCT02108652,"A Phase II, Multicenter, Single-Arm Study of Atezolizumab in Patients With Locally Advanced or Metastatic Urothelial Bladder Cancer",['Atezolizumab']
35,NCT02031458,"A Phase II, Multicenter, Single-Arm Study OF Atezolizumab In Patients With PD-L1-Positive Locally Advanced Or Metastatic Non-Small Cell Lung Cancer",['Atezolizumab']
36,NCT04321330,"An Open-Label, Single Arm, Multicenter Study to Investigate the Efficacy and Safety of Atezolizumab (Tecentriq) in Previously-Treated Patients With Advanced Thymic Carcinoma",['Atezolizumab']
37,NCT03285763,"A Phase III/IV, Single Arm, Multicenter Study of Atezolizumab (Tecentriq) to Investigate Long-term Safety and Efficacy in Previously-treated Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer (TAIL)",['Atezolizumab']
38,NCT02848651,A Phase II Single-Arm Study of Atezolizumab Monotherapy in Locally Advanced or Metastatic Non-Small Cell Lung Cancer: Clinical Evaluation of Novel Blood-Based Diagnostics,['Atezolizumab']
39,NCT05470595,"A Phase II, Single-arm Trial of Atezolizumab/Platinum/Etoposide for the Treatment of Advanced Large-cell Neuroendocrine Cancer of the Lung",['Atezolizumab']
40,NCT04865250,"Exploratory Study Evaluating the Potential of Immune Signature Profiling for Predicting Response in Patients With Resectable Stage II, IIIA and Select IIIB (T3N2 Only) Non-squamous Non-Small Cell Lung Cancer (NSCLC) to Neoadjuvant ATEZOLIZUMAB Plus Carboplatin/Nab Paclitaxel",['Atezolizumab']
41,NCT03697850,Phase II Study of Maintenance Anti-PD-L1 Treatment With Atezolizumab After Chemo-radiotherapy for Muscle-infiltrating Bladder Cancer Patients Not Eligible for Radical Cystectomy: Bladder Sparing,['Atezolizumab']
42,NCT04624399,Phase 2 Study of Neoadjuvant Immune Checkpoint Inhibitors in Urothelial Cancer,['Atezolizumab']
43,NCT04408118,Phase II Clinical Trial to Evaluate the Efficacy and Safety of First Line Atezolizumab in Combination With Paclitaxel and Bevacizumab (Avastin®) in Patients With Advanced or Metastatic Triple-negative Breast Cancer,['Atezolizumab']
44,NCT04273061,Canadian Atezolizumab Precision Targeting for Immunotherapy Intervention,['Atezolizumab']
45,NCT04221529,Single-Arm Phase II-Study in Patients With Extensive Stage Small Cell Lung Cancer (ES-SCLC) With Poor Performance Status Receiving Atezolizumab-Carboplatin-Etoposide,['Atezolizumab']
46,NCT03357224,Phase II Trial of Atezolizumab (Anti-PD-L1) in the Treatment of Stage IIb-IV Mycosis Fungoides/Sezary Syndrome Patients Relapsed/Refractory After a Previous Systemic Treatment,['Atezolizumab']
47,NCT03262454,Sequential Hypofractionated Radiotherapy Followed by Anti-PD-L1 Atezolizumab for Recurrent or Refractory Small Cell Lung Cancer,['Atezolizumab']
48,NCT05118724,Perioperative/Adjuvant Atezolizumab With or Without the Immunomodulatory IMM-101 in Patients With MSI-high or MMR-deficient Stage III Colorectal Cancer Ineligible for Oxaliplatin-based Chemotherapy - a Randomized Phase II Study,['Atezolizumab']
49,NCT05038657,"Atezolizumab in Patients With Urinary Tract Squamous Cell Carcinoma: a Single Arm, Open Label, Multicentre, Phase II Clinical Trial",['Atezolizumab']
50,NCT03976518,"Phase II, Open-label Study of Atezolizumab in a Cohort of Pretreated, Advanced Non-small Cell Lung Cancer (NSCLC) Patients With Rare Histological Subtypes (CHANCE Trial).",['Atezolizumab']
51,NCT03228368,The Predicted Potential of Quantitative T Cell Repertoire(TCR) Analysis Using Next-generation Sequencing (NGS) in Anti-PD-L1 Treatment in Non Small Cell Lung（NSCLC) Cancer Patients,['Atezolizumab (MPDL3280A)']
52,NCT02409342,"A Phase III, Open Label, Randomized Study of Atezolizumab (Anti-PD-L1 Antibody) Compared With a Platinum Agent (Cisplatin or Carboplatin) in Combination With Either Pemetrexed or Gemcitabine for PD-L1-Selected, Chemotherapy-Naive Patients With Stage IV Non-Squamous Or Squamous Non-Small Cell Lung Cancer","['Atezolizumab (MPDL3280A) [TECENTRIQ], an engineered anti-PDL1 antibody', 'Carboplatin', 'Cisplatin', 'Gemcitabine', 'Pemetrexed']"
53,NCT02302807,"A Phase III, Open-Label, Multicenter, Randomized Study to Investigate the Efficacy and Safety of Atezolizumab (Anti-PD-L1 Antibody) Compared With Chemotherapy in Patients With Locally Advanced or Metastatic Urothelial Bladder Cancer After Failure With Platinum-Containing Chemotherapy","['Atezolizumab (MPDL3280A) [TECENTRIQ], an engineered anti-PDL1 antibody', 'Docetaxel', 'Paclitaxel', 'Vinflunine']"
54,NCT02631577,A Phase Ib/II Study Evaluating the Safety and Efficacy of Atezolizumab in Combination With Obinutuzumab Plus Lenalidomide in Patients With Relapsed or Refractory Follicular Lymphoma,"['Atezolizumab (MPDL3280A) [TECENTRIQ]', 'Lenalidomide', 'Obinutuzumab']"
55,NCT02927301,"A Phase II, Open-Label, Multicenter, Single-Arm Study to Investigate the Efficacy and Safety of Atezolizumab as Neoadjuvant and Adjuvant Therapy in Patients With Stage IB, II, IIIA, or Selected IIIB Resectable and Untreated Non-Small Cell Lung Cancer","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody']"
56,NCT02366143,"A Phase III, Open-Label, Randomized Study of Atezolizumab (MPDL3280A, Anti-PD-L1 Antibody) in Combination With Carboplatin+Paclitaxel With or Without Bevacizumab Compared With Carboplatin + Paclitaxel + Bevacizumab in Chemotherapy-Naïve Patients With Stage IV Non-Squamous Non-Small Cell Lung Cancer","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Bevacizumab', 'Carboplatin', 'Paclitaxel']"
57,NCT02420821,"A Phase III, Open-Label, Randomized Study of Atezolizumab (Anti-PD-L1 Antibody) in Combination With Bevacizumab Versus Sunitinib in Patients With Untreated Advanced Renal Cell Carcinoma","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Bevacizumab', 'Sunitinib']"
58,NCT01984242,"A Phase II, Randomized Study of Atezolizumab (Anti-PD-L1 Antibody) Administered as Monotherapy or in Combination With Bevacizumab Versus Sunitinib in Patients With Untreated Advanced Renal Cell Carcinoma","['Atezolizumab (MPDL3280A), an Engineered Anti-PD-L1 Antibody', 'Bevacizumab', 'Sunitinib']"
59,NCT02763579,"A Phase I/III, Randomized, Double-Blind, Placebo-Controlled Study of Carboplatin Plus Etoposide With or Without Atezolizumab (Anti-PD-L1 Antibody) in Patients With Untreated Extensive-Stage Small Cell Lung Cancer","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Carboplatin', 'Etoposide', 'Placebo']"
60,NCT02367781,"A Phase III Multicenter, Randomized, Open-Label Study Evaluating the Efficacy and Safety of Atezolizumab (MPDL3280A, Anti-PD-L1 Antibody) in Combination With Carboplatin+Nab-Paclitaxel for Chemotherapy-Naive Patients With Stage IV Non-Squamous Non-Small Cell Lung Cancer","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Carboplatin', 'Nab-Paclitaxel', 'Pemetrexed']"
61,NCT02431208,A Phase Ib Study of the Safety and Pharmacokinetics of Atezolizumab (Anti-PD-L1 Antibody) Alone or in Combination With an Immunomodulatory Drug and/or Daratumumab in Patients With Multiple Myeloma (Relapsed/Refractory and Post-Autologous Stem Cell Transplantation),"['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Daratumumab', 'Lenalidomide', 'Pomalidomide', 'Dexamethasone']"
62,NCT02813785,"A Phase III, Open-Label, Multicenter, Randomized Study to Investigate the Efficacy and Safety of Atezolizumab (Anti-PD-L1 Antibody) Compared With Docetaxel in Patients With Non-Small Cell Lung Cancer After Failure With Platinum-Containing Chemotherapy","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Docetaxel']"
63,NCT03456063,"A Phase III, Double-Blinded, Multicenter, Randomized Study Evaluating the Efficacy and Safety of Neoadjuvant Treatment With Atezolizumab or Placebo in Combination With Platinum-Based Chemotherapy in Patients With Resectable Stage II, IIIA, or Select IIIB Non-Small Cell Lung Cancer","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Placebo Comparator', 'Nab-paclitaxel', 'Pemetrexed', 'Carboplatin', 'Cisplatin', 'Gemcitabine']"
64,NCT03191786,"A Phase III, Open-Label, Multicenter, Randomized Study to Investigate the Efficacy and Safety of Atezolizumab Compared With Chemotherapy in Patients With Treatment Naïve Advanced or Recurrent (Stage IIIb Not Amenable for Multimodality Treatment) or Metastatic (Stage IV) Non-Small Cell Lung Cancer Who Are Deemed Unsuitable for Platinum-Containing Therapy","['Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody', 'Vinorelbine', 'Gemcitabine']"
65,NCT03125902,"A Phase III, Multicenter, Randomised, Double-Blind, Placebo-Controlled Study of Atezolizumab (Anti-Pd-L1 Antibody) in Combination With Paclitaxel Compared With Placebo With Paclitaxel for Patients With Previously Untreated Inoperable Locally Advanced or Metastatic Triple Negative Breast Cancer","['Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody', 'Atezolizumab Placebo', 'Paclitaxel']"
66,NCT02788279,"A Phase III, Open-Label, Multicenter, Three-Arm, Randomized Study to Investigate the Efficacy and Safety of Cobimetinib Plus Atezolizumab and Atezolizumab Monotherapy vs. Regorafenib in Patients With Previously Treated Unresectable Locally Advanced or Metastatic Colorectal Adenocarcinoma","['Atezolizumab (MPDL3280A), an Engineered Anti-PDL1 Antibody', 'Cobimetinib', 'Regorafenib']"
67,NCT02425891,"A Phase III, Multicenter, Randomized, Placebo-Controlled Study of Atezolizumab (Anti-PD-L1 Antibody) in Combination With Nab-Paclitaxel Compared With Placebo With Nab-Paclitaxel for Patients With Previously Untreated Metastatic Triple-Negative Breast Cancer","['Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody', 'Nab-Paclitaxel', 'Placebo']"
68,NCT03197935,A Phase III Randomized Study to Investigate the Efficacy and Safety of Atezolizumab (Anti-PD-L1 Antibody) in Combination With Neoadjuvant Anthracycline/Nab-Paclitaxel-Based Chemotherapy Compared With Placebo and Chemotherapy in Patients With Primary Invasive Triple-Negative Breast Cancer,"['Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody', 'Placebo', 'Nab-paclitaxel', 'Doxorubicin', 'Cyclophosphamide', 'Filgrastim', 'Pegfilgrastim']"
69,NCT02367794,"A Phase III, Open-Label, Multicenter, Randomized Study Evaluating the Efficacy and Safety of Atezolizumab (MPDL3280A, Anti-PD-L1 Antibody) in Combination With Carboplatin+Paclitaxel or Atezolizumab in Combination With Carboplatin+Nab-Paclitaxel Versus Carboplatin+Nab-Paclitaxel in Chemotherapy-Naive Patients With Stage IV Squamous Non-Small Cell Lung Cancer","['Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 (anti-PD-L1) antibody', 'Carboplatin', 'Nab-Paclitaxel', 'Paclitaxel']"
70,NCT02458638,"An Open-Label, Multicohort, Phase II Study of Atezolizumab in Advanced Solid Tumors","['Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 (PD-L1) antibody']"
71,NCT03280563,"A Phase Ib/II, Open-Label, Multicenter, Randomized Umbrella Study Evaluating the Efficacy and Safety of Multiple Immunotherapy-Based Treatment Combinations in Patients With Hormone Receptor-Positive HER2-Negative Breast Cancer (MORPHEUS-HR+ Breast Cancer)","['Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 (PD-L1) antibody', 'Bevacizumab', 'Entinostat', 'Exemestane', 'Fulvestrant', 'Ipatasertib', 'Tamoxifen', 'Abemaciclib']"
72,NCT02410512,"A Phase Ib, Open-Label, Dose-Escalation Study of the Safety and Pharmacokinetics of MOXR0916 and Atezolizumab in Patients With Locally Advanced or Metastatic Solid Tumors","['Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 [PD-L1] antibody', 'MOXR0916, a humanized agonist anti-OX40 monoclonal antibody']"
73,NCT02729896,A Phase Ib/II Study Evaluating the Safety and Efficacy of Obinutuzumab in Combination With Atezolizumab Plus Polatuzumab Vedotin in Patients With Relapsed or Refractory Follicular Lymphoma and Rituximab in Combination With Atezolizumab Plus Polatuzumab Vedotin in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma,"['Atezolizumab [TECENTRIQ]', 'Obinutuzumab', 'Polatuzumab Vedotin', 'Rituximab']"
74,NCT02891824,"A Randomized, Double-blinded, Phase III Study of Atezolizumab Versus Placebo in Patients With Late Relapse of Epithelial Ovarian, Fallopian Tube, or Peritoneal Cancer Treated by Platinum-based Chemotherapy and Bevacizumab","['atezolizumab + avastin + platinum-based chemotherapy', 'placebo + avastin + platinum-based chemotherapy']"
75,NCT04759248,A Phase II With 2 Parallel Cohorts Clinical Trial Targeting Estrogen Receptor Negative or PAM50 Non-luminal Disease With Atezolizumab in Combination With Trastuzumab and Vinorelbine in HER2-positive Advanced/Metastatic Breast Cancer - ATREZZO Study,['Atezolizumab + Trastuzumab + Vinorelbine']
76,NCT04487756,Phase Ib/II Trial of the Combination of Atezolizumab With Dendritic Cell Vaccination as Maintenance Treatment in Patients With Extensive Stage Small Cell Lung Cancer (ES-SCLC) After Induction Treatment,"['Atezolizumab 1200 mg in 20 ML Injection', 'ADC Vaccine', 'Carboplatin']"
77,NCT04602078,"Phase II, Multicenter, Non-randomized, Single-arm, Open-label Trial of Atezolizumab in Combination of Split-doses of Gemcitabine Plus Cisplatin in Patients With Locally Advanced or Metastatic Urothelial Carcinoma","['Atezolizumab 1200 mg/m2', 'Gemcitabine 1000 mg/m2', 'Cisplatin 70 mg/m2']"
78,NCT04770272,An Adaptive Randomized Neoadjuvant Two Arm Trial in Triple-negative Breast Cancer Comparing a Mono Atezolizumab Window Followed by a Atezolizumab - CTX Therapy With Atezolizumab - CTX Therapy (neoMono),"['Atezolizumab 840 MG in 14 ML Injection', 'Atezolizumab 1200 MG in 20 ML Injection', 'Carboplatin', 'Paclitaxel', 'Epirubicin', 'Cyclophosphamide']"
79,NCT04059887,Evaluation of Blood Tumor Mutation Burden (TMB) for Improved Efficacy of Atezolizumab in 2nd Line Non-small Cell Lung Cancer (NSCLC) [BUDDY],['Atezolizumab Injection [Tecentriq]']
80,NCT04186013,Efficacy of Atezolizumab Concurrent With Radiotherapy in Patients With Muscle-invasive Bladder cáncer (Study ATEZOBLADDERPRESERVE),['Atezolizumab Injection [Tecentriq]']
81,NCT05180006,Impact of Neoadjuvant Immunotherapy in Early Stage Breast Cancer Before Standard Therapy,"['Atezolizumab Injection', 'Ipatasertib', 'Bevacizumab', 'Pertuzumab', 'Trastuzumab']"
82,NCT04862949,Organ-specific Responses to Atezolizumab Plus Bevacizumab in Patients With Advanced Hepatocellular Carcinoma,['Atezolizumab plus bevacizumab']
83,NCT05661188,Phase II Study of Atezolizumab Plus Tiraglolumab in Combination With Chemoradiotherapy in Localized Squamous Cell Carcinoma of the Anal Canal,['Atezolizumab plus Tiraglolumab']
84,NCT02792192,"A Phase Ib/II, Open-Label Study of the Safety and Pharmacology of Atezolizumab Administered With or Without Bacille Calmette-Guérin in Patients With High-Risk Non-Muscle-Invasive Bladder Cancer","['Atezolizumab', 'Bacille Calmette-Guérin']"
85,NCT05300282,A Phase I/II b (Randomized Controlled) Study of Atezolizumab Combined to BEGEV Regimen as First Salvage Treatment in Patients With Relapsed or Refractory Hodgkin's Lymphoma Candidate to Autologous Stem-Cell Transplantation,['Atezolizumab']
86,NCT02908672,"A Phase III, Double-Blinded, Randomized, Placebo-Controlled Study of Atezolizumab Plus Cobimetinib and Vemurafenib Versus Placebo Plus Cobimetinib and Vemurafenib in Previously Untreated BRAFV600 Mutation-Positive Patients With Unresectable Locally Advanced or Metastatic Melanoma","['Atezolizumab', 'Atezolizumab Placebo', 'Cobimetinib', 'Vemurafenib', 'Vemurafenib Placebo']"
87,NCT02508870,A Phase Ib Study of the Safety and Pharmacology of Atezolizumab (Anti-PD-L1 Antibody) Administered Alone or in Combination With Azacitidine in Patients With Myelodysplastic Syndromes,"['Atezolizumab', 'Azacitidine']"
88,NCT04712643,"A Phase III, Open-Label, Randomized Study of On-Demand TACE Combined With Atezolizumab Plus Bevacizumab (Atezo/Bev) or On-Demand TACE Alone in Patients With Untreated Heaptocellular Carcionma","['Atezolizumab', 'Becavizumab']"
89,NCT02596971,A Phase IB/II Study Evaluating the Safety and Efficacy of Atezolizumab in Combination With Either Obinutuzumab Plus Bendamustine or Obinutuzumab Plus CHOP in Patients With Follicular Lymphoma or Rituximab Plus CHOP in Patients With Diffuse Large B-Cell Lymphoma,"['Atezolizumab', 'Bendamustine', 'Cyclophosphamide', 'Doxorubicin', 'Obinutuzumab', 'Prednisone', 'Vincristine', 'Rituximab']"
90,NCT04732286,"A Phase IIIb, Single Arm, Multicenter Study of Atezolizumab in Combination With Bevacizumab to Investigate Safety and Efficacy in Spanish Patients With Unresectable or Unsuitable for Locoregional Treatments Hepatocellular Carcinoma Not Previously Treated With Systemic Therapy","['Atezolizumab', 'Bevacizumab']"
91,NCT04487067,"A Phase IIIB, Single Arm, Multicenter Study of Atezolizumab (Tecentriq) in Combination With Bevacizumab to Investigate Safety and Efficacy in Patients With Unresectable Hepatocellular Carcinoma Not Previously Treated With Systemic Therapy-Amethista","['Atezolizumab', 'Bevacizumab']"
92,NCT04426825,"A Single Arm, Phase II Study of Atezolizumab (MPDL3280A, Anti-PD-L1 Antibody) in Combination With Bevacizumab in Patients With EGFR Mutation Positive Stage IIIB-IV Non-Squamous Non-Small Cell Lung Cancer Pretreated With Epidermal Growth Factor Receptor Tyrosine-Kinase Inhibitors","['Atezolizumab', 'Bevacizumab']"
93,NCT04102098,"A Phase III, Multicenter, Randomized, Open-Label Study of Atezolizumab (Anti-PD-L1 Antibody) Plus Bevacizumab Versus Active Surveillance as Adjuvant Therapy in Patients With Hepatocellular Carcinoma at High Risk of Recurrence After Surgical Resection or Ablation","['Atezolizumab', 'Bevacizumab']"
94,NCT04091217,Atezolizumab in Combination With Bevacizumab in Patients With Unresectable Locally Advanced or Metastatic Mucosal Melanoma,"['Atezolizumab', 'Bevacizumab']"
95,NCT03693573,"An Open Label, Phase IIIB, Single Arm, Multicenter Safety Study of Atezolizumab in Combination With Bevacizumab in Untreated Locally Advanced or Metastatic Clear Cell or Non-Clear Cell Renal Cell Carcinoma","['Atezolizumab', 'Bevacizumab']"
